Miss Jerry| The adventures of a female reporter in the 1890s.;
The Story of the Kelly Gang| True story of notorious Australian outlaw Ned Kelly 185580.;
Den sorte drm| Two men of high rank are both wooing the beautiful and famous equestrian acrobat Stella. While Stella ignores the jeweler Hirsch, she accepts Count von Waldbergs offer to follow her home, ...;
Cleopatra| The fabled queen of Egypts affair with Roman general Marc Antony is ultimately disastrous for both of them.;
LInferno| Loosely adapted from Dantes Divine Comedy and inspired by the illustrations of Gustav Dor the original silent film has been restored and has a new score by Tangerine Dream.;
From the Manger to the Cross or, Jesus of Nazareth| An account of the life of Jesus Christ, based on the books of the New Testament After Jesus birth is foretold to his parents, he is born in Bethlehem, and is visited by shepherds and wise;
Madame DuBarry| The story of Madame DuBarry, the mistress of Louis XV of France, and her loves in the time of the French revolution.;
Quo Vadis| An epic Italian film Quo Vadis influenced many of the later movies.;
Independenta Romaniei| The movie depicts the Romanian War of Independence 18771878.;
Richard III| Richard of Gloucester uses manipulation and murder to gain the English throne.;
Atlantis| After Dr. Friedrichs wife becomes mentally unstable and his research papers are rejected, he leaves the country to respite.;
Fantmas   lombre de la guillotine| Inspector Juve is tasked to investigate and capture an infamous criminal Fantomas.;
Il calvario di una madre| Single mother is separated from her children due to financial struggles.;
Juve contre Fantmas| In Part Two of Louis Feuillades 5 12hour epic follows Fantmas, the criminal lord of Paris, master of disguise, the creeping assassin in black, as he is pursued by the equally resourceful Inspector Juve.;
Ma lamor mio non muore...| Leslie Swayne, an adventurer, in order to obtain enough money to satisfy the needs of his extravagant life, has been bribed to steal the plans of the fortification from the staff officers ...;
Maudite soit la guerre| An army pilot is on a visit at the home of another army pilot in the neighboured country. He falls in love with his sister. After the outbreak of a war between the two countries, her ...;
Le mort qui tue| After a body disappears from inside the prison, a series of crimes take place, all seemingly by the dead man. With Juve presumed dead, Fandor must investigate alone. Will Fantomas finally be brought to justice;
Amore di madre| John Howard Payne at his most miserable point in life, writes a song which becomes popular and inspires other people at some point in their lives.;
Lo studente di Praga| Balduin, a student of Prague, leaves his roystering companions in the beer garden, when he finds he has reached the end of his resources. He is scarcely seated in a quiet corner when a ...;
Traffic in Souls| A woman, with the aid of her police officer sweetheart, endeavors to uncover the prostitution ring that has kidnapped her sister, and the philanthropist who secretly runs it.;
Gli ultimi giorni di Pompei| Two love triangles intersect in ancient Pompei.;
Assunta Spina| Assunta Spina is a tragedy set in Naples at the beginning of the twentieth century. Assunta and Michele are in love but others come between them and there is much jealousy. They fight and ...;
The Avenging Conscience or Thou Shalt Not Kill| Prevented from dating his sweetheart by his uncle, a young man turns his thoughts to murder.;
The Bargain| After the bandit Jim Stokes robs the stage he is wounded fleeing. Recuperating at a ranch, he falls in love with and marries the daughter. Now wishing to go straight he tries to return the ...;
Cabiria| Cabiria is a Roman child when her home is destroyed by a volcano. Sold in Carthage to be sacrificed in a temple, is saved by Fulvio, a Roman spy. But danger lurks, and hatred between Rome and Carthage can only lead to war.;
Cinderella| Though mistreated by her cruel stepmother and stepsisters, Cinderella is able to attend the royal ball through the help of a fairy godmother.;
Lenfant de Paris| The young daughter of an army captain missing in action runs away from school and is kidnapped by Parisian lowlifes. When the kidnapper flees to Nice with the child, the kindhearted employee of one of his accomplices sets off in pursuit.;
Fantmas contre Fantmas| The mystery of the drama is the appearance of the fingerprint of a dead artist upon the neck of Princess Sonia Danidoff, whom Fantomas, as Nanteuil, relieves of her pearl necklace, and ...;
A Florida Enchantment| A young woman discovers a seed that can make women act like men and men act like women. She decides to take one, then slips one to her maid and another to her fianc. The fun begins.;
Der Golem| In this version of the golem legend, the golem, a clay statue brought to life by Rabbi Loew in 16th century Prague to save the Jews from the ongoing brutal persecution by the citys rulers,...;
Det hemmelighedsfulde X| On the brink of war, Lt. van Hauen is summoned to take command of the cruiser, but due to unforeseen events, he is wrongfully convicted as a traitor.;
His Majesty, the Scarecrow of Oz| A wicked king has taken over the Emerald City, and wants his daughter, Princess Gloria, to marry the horrid courtier GooglyGoo, though she loves Pon, the Gardeners Boy. The camera now ...;
Hypocrites| The parallel stories of a modern preacher and a medieval monk, Gabriel the Ascetic, who is killed by an ignorant mob for making a nude statue representing Truth, which is also represented by a ghostly naked girl who flits throughout the film.;
In the Land of the Head Hunters| In 1911, as part of his massive undertaking, famed Northwest photographer Edward S. Curtis travelled to Vancouver Island, British Columbia, to visit the Kwakwakawakw. By the next year, ...;
Judith of Bethulia| A religious woman seeks to save her people from destruction by seducing and murdering the enemy leader, but her plans get complicated once she falls for him.;
The Patchwork Girl of Oz| Ojo and Unc Nunkie are out of food, so they decide to journey to the Emerald City where they will never starve. Along the way, they meet Mewel, a waif and stray mule who leads them to Dr....;
The Perils of Pauline| Young Pauline is left a lot of money when her wealthy uncle dies. However, her uncles secretary has been named as her guardian until she marries, at which time she will officially take ...;
The Squaw Man| A chivalrous British officer takes the blame for his cousins embezzlement and journeys to the American West to start a new life on a cattle ranch.;
La madonnina del porto| A wealthy resident attempts to dispossess squatters who live near his home, which leads to a false accusation of murder.;
